Date,Company,Debt/Equity,Revenue Growth %,Net Income,Volatility,News Sentiment,Final Label
2023-06-08,NIO Inc,0.5,0.4,81M,High,-0.43,0.4
2023-06-14,Walgreens,0.9,16.8,990M,Low,0.85,0.84
2023-06-15,Verizon Communications,0.8,12.8,327M,Medium,0.77,0.6
2023-06-22,Salesforce Inc,0.6,7.5,141M,Low,-0.2,0.54
2023-06-25,Twitter Inc,2.3,13.6,657M,High,0.14,0.51
2023-06-26,PayPal Holdings,1.4,18.7,702M,Low,0.76,0.78
2023-06-26,Twitter Inc,0.6,19.8,615M,Medium,-0.05,0.65
2023-06-29,Rivian Automotive,2.6,8.5,613M,High,0.16,0.52
2023-06-30,Walmart Inc,0.5,16.3,2234M,High,0.36,0.7
2023-07-04,3M Company,0.3,-20.9,213M,Medium,-0.7,0.46
2023-07-05,American Express,0.8,-3.4,62M,Medium,0.0,0.41
2023-07-14,Johnson & Johnson,1.2,8.1,776M,Medium,0.03,0.64
2023-07-24,Lucid Group,2.5,1.5,122M,Medium,0.19,0.36
2023-07-28,AbbVie Inc,3.5,16.2,1706M,High,-0.12,0.46
2023-07-30,Lucid Group,0.4,9.5,446M,Medium,-0.79,0.68
2023-08-02,Spotify Technology,0.8,21.8,285M,Low,0.04,0.73
2023-08-03,Berkshire Hathaway,0.8,14.6,1131M,Medium,-0.58,0.63
2023-08-15,Lucid Group,1.5,2.1,863M,Medium,0.68,0.54
2023-08-19,Costco Wholesale,0.9,-2.5,95M,Low,-0.78,0.46
2023-08-19,Twitter Inc,1.4,-1.4,-24M,Low,-0.33,0.41
2023-08-19,Twitter Inc,0.4,0.5,400M,High,0.12,0.57
2023-08-25,Merck & Co,2.2,9.3,46M,High,0.44,0.39
2023-08-27,3M Company,0.7,28.6,798M,Medium,0.67,0.78
2023-09-05,Apple Inc,1.0,15.4,683M,High,0.49,0.69
2023-09-08,T-Mobile US,1.0,15.2,189M,Medium,0.58,0.65
2023-09-11,Salesforce Inc,0.3,13.3,1145M,Medium,-0.1,0.73
2023-09-13,Morgan Stanley,0.6,16.2,84M,High,0.32,0.48
2023-09-20,Uber Technologies,1.7,12.6,1101M,Medium,-0.75,0.58
2023-09-20,Zoom Video,0.6,26.6,1128M,Low,0.56,0.87
2023-09-21,Home Depot,0.7,-5.1,100M,High,-0.65,0.5
2023-09-23,PepsiCo Inc,0.3,10.7,99M,High,0.2,0.61
2023-09-27,ConocoPhillips,0.5,18.4,604M,Low,0.61,0.73
2023-09-27,Zoom Video,1.6,4.7,768M,High,-0.83,0.53
2023-09-29,AT&T Inc,0.3,11.0,784M,Medium,-0.16,0.7
2023-10-01,Chevron Corp,2.0,34.4,1731M,Low,0.68,0.78
2023-10-02,Lucid Group,0.5,12.5,527M,Medium,-0.13,0.61
2023-10-04,Merck & Co,0.8,14.8,708M,Low,0.7,0.77
2023-10-04,Zoom Video,1.9,15.9,2192M,Low,0.42,0.75
2023-10-07,Walgreens,0.4,-3.9,-379M,High,-0.45,0.34
2023-10-09,Teladoc Health,1.1,12.4,568M,High,0.72,0.63
2023-10-11,PayPal Holdings,0.8,7.7,1477M,Medium,0.71,0.75
2023-10-14,Johnson & Johnson,0.7,-1.8,325M,High,0.82,0.6
2023-10-17,T-Mobile US,0.4,17.2,980M,High,0.18,0.6
2023-10-19,Wells Fargo,0.8,11.6,218M,Low,-0.35,0.55
2023-10-25,Spotify Technology,1.0,-1.1,-341M,Medium,0.15,0.37
2023-10-28,Verizon Communications,0.6,11.8,723M,Low,0.09,0.66
2023-10-28,Pfizer Inc,1.1,7.3,1210M,High,0.88,0.7
2023-11-03,Target Corp,2.4,14.1,620M,Medium,-0.65,0.56
2023-11-07,Visa Inc,0.9,2.1,12M,Low,0.72,0.62
2023-11-12,Ford Motor Co,0.8,17.4,1418M,Medium,0.14,0.72
2023-11-15,Ford Motor Co,0.7,4.8,276M,Medium,-0.29,0.52
2023-11-17,Pfizer Inc,0.8,6.9,882M,High,-0.39,0.53
2023-11-21,Rivian Automotive,0.3,32.1,1445M,Low,-0.04,0.83
2023-11-22,Twitter Inc,0.5,37.3,1300M,Low,0.01,0.9
2023-11-27,Lucid Group,0.4,27.8,1829M,Low,-0.09,0.8
2023-11-28,CVS Health,0.8,38.3,848M,Medium,0.89,0.82
2023-11-29,Airbnb Inc,0.4,-14.0,417M,Medium,-0.04,0.57
2023-11-30,Enphase Energy,0.6,-5.4,-177M,Medium,-0.24,0.43
2023-12-04,Chevron Corp,0.9,-8.5,75M,Medium,-0.26,0.4
2023-12-08,Oracle Corp,1.2,6.2,614M,High,0.37,0.55
2023-12-10,Boeing Co,1.8,20.4,493M,Low,0.76,0.64
2023-12-11,Walgreens,0.6,19.2,843M,Medium,0.67,0.78
2023-12-13,Intel Corp,2.2,-2.2,-10M,High,-0.82,0.39
2023-12-17,American Express,1.0,13.1,461M,Medium,0.81,0.69
2023-12-18,Anthem Inc,0.7,-1.1,-94M,High,-0.46,0.35
2023-12-19,Twitter Inc,0.5,31.7,2358M,Low,-0.09,0.76
2023-12-20,NVIDIA Corp,2.1,12.4,924M,Medium,0.08,0.62
2023-12-21,Verizon Communications,1.1,2.2,386M,Low,0.78,0.67
2023-12-22,General Electric,0.8,10.9,638M,Medium,0.83,0.67
2023-12-24,JPMorgan Chase,1.9,10.2,564M,Low,0.18,0.56
2023-12-31,Teladoc Health,0.5,31.6,955M,Low,0.41,0.92
2024-01-06,T-Mobile US,1.2,9.3,594M,High,0.61,0.56
2024-01-09,Costco Wholesale,0.5,-16.1,237M,Medium,0.19,0.53
2024-01-11,Procter & Gamble,0.6,8.0,508M,High,0.09,0.51
2024-01-14,ConocoPhillips,0.5,23.1,191M,High,0.45,0.63
2024-01-14,Walgreens,0.3,25.0,1549M,Low,0.83,0.84
2024-01-18,AbbVie Inc,0.7,-19.9,-26M,High,-0.19,0.35
2024-01-23,Bank of America,1.0,5.8,930M,Low,0.77,0.82
2024-01-31,Costco Wholesale,2.7,8.6,1251M,High,0.66,0.64
2024-02-03,Boeing Co,0.6,18.5,2072M,Medium,0.06,0.74
2024-02-11,Comcast Corp,1.7,4.6,564M,High,0.54,0.5
2024-02-13,Target Corp,1.3,15.5,861M,Low,-0.15,0.71
2024-02-17,Home Depot,0.2,9.5,251M,Low,0.61,0.56
2024-02-21,General Motors,1.8,20.2,1314M,Low,0.64,0.73
2024-02-29,Twitter Inc,1.9,-0.7,40M,Medium,-0.39,0.4
2024-03-01,Verizon Communications,0.5,12.9,629M,High,-0.56,0.55
2024-03-05,Verizon Communications,0.8,8.5,1264M,Low,0.78,0.77
2024-03-07,Home Depot,0.8,-14.3,-142M,High,-0.63,0.29
2024-03-08,Square Inc,0.9,22.7,284M,Low,0.01,0.68
2024-03-14,T-Mobile US,0.9,25.4,609M,Low,0.12,0.69
2024-03-17,Zoom Video,0.6,27.1,629M,Low,0.16,0.78
2024-03-17,Merck & Co,1.5,-3.8,-93M,High,-0.62,0.35
2024-03-19,Pfizer Inc,1.4,7.3,355M,Low,-0.25,0.56
2024-03-19,Oracle Corp,0.9,15.4,131M,Low,0.1,0.58
2024-03-23,Procter & Gamble,0.5,19.8,678M,High,0.1,0.58
2024-03-24,Google LLC,1.9,7.3,38M,Medium,-0.47,0.45
2024-03-26,3M Company,0.8,31.9,642M,Low,0.83,0.86
2024-03-26,Visa Inc,0.9,31.5,661M,Medium,0.55,0.68
2024-03-27,Netflix Inc,0.6,4.6,259M,Low,-0.61,0.52
2024-04-03,JPMorgan Chase,1.9,28.3,884M,Medium,0.41,0.76
2024-04-05,Netflix Inc,0.3,2.1,181M,Medium,0.49,0.58
2024-04-06,Verizon Communications,1.5,10.1,472M,High,-0.18,0.53
2024-04-09,Goldman Sachs,0.6,35.5,612M,Low,-0.05,0.73
2024-04-10,JPMorgan Chase,2.4,-5.2,103M,Medium,-0.04,0.34
2024-04-11,Mastercard Inc,0.9,-3.5,186M,Low,-0.04,0.57
2024-04-11,Wells Fargo,0.2,20.1,316M,Low,0.56,0.69
2024-04-12,Costco Wholesale,1.4,15.6,1722M,Low,-0.11,0.65
2024-04-15,Merck & Co,1.0,15.5,1366M,Low,0.67,0.68
2024-04-17,Comcast Corp,1.0,21.4,231M,Low,0.61,0.71
2024-04-17,Airbnb Inc,0.9,17.1,1421M,Medium,0.85,0.68
2024-04-19,Coca-Cola Co,1.3,21.0,2468M,Medium,0.3,0.79
2024-04-23,Costco Wholesale,0.8,17.7,1235M,Low,0.17,0.71
2024-05-01,Chevron Corp,2.2,8.6,877M,Medium,0.89,0.62
2024-05-02,CVS Health,1.8,14.5,725M,High,-0.79,0.49
2024-05-02,UnitedHealth Group,1.1,-7.3,-66M,Low,-0.71,0.41
2024-05-05,General Motors,0.8,-8.0,202M,Low,-0.09,0.6
2024-05-07,Comcast Corp,1.3,5.5,1013M,Medium,0.6,0.69
2024-05-11,JPMorgan Chase,0.6,5.0,602M,Low,0.01,0.61
2024-05-13,Enphase Energy,0.6,1.1,444M,Medium,-0.04,0.51
2024-05-18,Meta Platforms Inc,0.5,10.9,628M,Low,-0.6,0.7
2024-05-21,ConocoPhillips,0.5,16.2,1004M,High,0.35,0.76
2024-05-24,Boeing Co,1.1,33.2,272M,Low,-0.01,0.69
2024-05-28,Target Corp,1.2,-7.0,120M,Low,0.19,0.53
2024-05-31,Zoom Video,0.6,4.8,437M,Medium,0.55,0.63
2024-06-10,Enphase Energy,1.3,-3.7,94M,Low,0.38,0.53
2024-06-13,Bank of America,0.8,37.3,246M,Low,0.2,0.7
2024-06-18,Meta Platforms Inc,1.6,-10.3,-323M,High,0.01,0.27
2024-06-21,AbbVie Inc,0.5,3.4,702M,Medium,-0.89,0.65
2024-06-26,Berkshire Hathaway,1.2,3.6,156M,Medium,0.12,0.51
2024-06-26,Wells Fargo,1.5,-19.1,21M,High,0.16,0.37
2024-06-27,Zoom Video,1.9,8.4,1032M,Low,0.88,0.72
2024-06-29,Lockheed Martin,1.0,18.8,1775M,Medium,0.65,0.67
2024-06-30,Pfizer Inc,1.0,12.5,1003M,High,-0.15,0.52
2024-07-04,Comcast Corp,1.1,28.9,212M,Low,0.89,0.67
2024-07-06,Walmart Inc,1.8,8.2,417M,Low,0.13,0.63
2024-07-09,Verizon Communications,1.9,-0.4,-114M,Medium,-0.81,0.36
2024-07-10,Meta Platforms Inc,0.9,11.9,1158M,Medium,-0.06,0.63
2024-07-11,ConocoPhillips,0.6,30.2,2300M,Low,0.36,0.78
2024-07-15,Apple Inc,1.0,12.2,956M,Medium,-0.1,0.61
2024-07-19,Walgreens,0.5,24.1,2019M,Low,0.74,0.89
2024-07-24,Tesla Inc,0.6,12.6,393M,Medium,0.06,0.61
2024-07-29,Intel Corp,0.7,10.7,228M,High,0.12,0.56
2024-07-30,Boeing Co,1.8,20.4,1093M,Low,0.77,0.79
2024-08-07,BlackRock Inc,1.3,4.3,193M,Low,-0.06,0.61
2024-08-11,Lucid Group,1.2,-1.8,144M,Medium,-0.39,0.54
2024-08-16,Apple Inc,0.8,7.6,982M,Low,-0.61,0.7
2024-08-18,Merck & Co,0.5,22.9,168M,High,0.6,0.58
2024-08-25,UnitedHealth Group,0.4,8.0,706M,Medium,0.77,0.69
2024-08-25,Starbucks Corp,1.1,25.6,600M,Low,0.88,0.72
2024-08-28,Adobe Inc,0.5,-1.8,-291M,Low,-0.41,0.38
2024-09-03,T-Mobile US,2.0,-3.8,-16M,High,-0.05,0.29
2024-09-05,Coca-Cola Co,0.2,6.8,236M,High,0.44,0.61
2024-09-08,Microsoft Corp,1.2,-2.2,-237M,Medium,-0.18,0.48
2024-09-14,Amazon.com Inc,0.6,6.1,610M,Low,0.78,0.71
2024-09-16,UnitedHealth Group,0.7,34.5,465M,Low,0.41,0.71
2024-09-17,Lockheed Martin,1.4,21.1,2215M,Low,0.39,0.78
2024-09-19,Spotify Technology,0.9,30.2,605M,Low,-0.02,0.76
2024-09-19,NIO Inc,0.5,-3.1,-10M,High,-0.19,0.52
2024-09-22,NVIDIA Corp,0.9,15.6,861M,Medium,0.85,0.81
2024-10-03,Uber Technologies,0.7,32.0,1240M,Low,-0.1,0.88
2024-10-07,Uber Technologies,0.6,10.0,677M,Low,0.79,0.69
2024-10-09,Goldman Sachs,1.3,3.0,553M,Medium,-0.0,0.48
2024-10-13,NextEra Energy,1.9,5.6,220M,High,0.63,0.45
2024-10-20,PepsiCo Inc,1.6,15.6,1371M,Low,0.44,0.66
2024-10-22,JPMorgan Chase,1.0,-0.9,93M,Medium,0.67,0.57
2024-10-24,Ford Motor Co,1.3,18.0,369M,Low,0.39,0.68
2024-10-27,Enphase Energy,0.9,13.7,670M,Medium,0.8,0.67
2024-10-29,Spotify Technology,0.8,16.6,466M,Medium,0.02,0.64
2024-11-04,Intel Corp,0.8,21.7,2024M,Low,0.33,0.81
2024-11-04,Netflix Inc,0.6,7.9,1011M,Low,0.06,0.76
2024-11-06,Disney Co,0.2,16.2,1581M,High,0.59,0.75
2024-11-09,PayPal Holdings,0.9,19.6,1626M,Low,0.31,0.77
2024-11-17,Walgreens,0.2,-9.2,-168M,Low,0.18,0.45
2024-11-21,Enphase Energy,1.9,39.6,2604M,Medium,0.55,0.74
2024-12-03,Square Inc,0.8,31.0,2895M,Low,0.68,0.88
2024-12-04,Teladoc Health,0.5,16.3,527M,Low,0.73,0.69
2024-12-05,Pfizer Inc,0.6,7.5,709M,High,-0.49,0.6
2024-12-07,UnitedHealth Group,1.4,13.5,68M,Medium,0.85,0.69
2024-12-08,Lucid Group,0.6,10.8,390M,High,-0.34,0.48
2024-12-10,ConocoPhillips,0.4,31.9,1310M,Low,0.53,0.95
2024-12-13,Twitter Inc,0.7,11.0,694M,High,0.74,0.62
2024-12-19,Morgan Stanley,0.9,21.4,1346M,Low,0.14,0.82
2024-12-26,General Electric,0.7,20.0,1955M,Low,0.04,0.71
2024-12-27,Zoom Video,0.3,17.2,572M,High,-0.13,0.61
2024-12-28,Pfizer Inc,0.8,-7.6,36M,Low,-0.11,0.46
